;Types
NOVA_MEMREF
NOVA_OP
NOVA_IO
NOVA_MATH
NOVA_PC
ECLIPSE_MEMREF
ECLIPSE_OP
ECLIPSE_PC
ECLIPSE_STACK
EAGLE_IO
EAGLE_PC
EAGLE_OP
EAGLE_MEMREF
EAGLE_STACK
EAGLE_FPU
;
;Formats
DERR_FMT
IMM_MODE_2_WORD_FMT
IMM_ONEACC_FMT
IO_FLAGS_DEV_FMT
IO_TEST_DEV_FMT
LNDO_4_WORD_FMT
NOACC_MODE_2_WORD_FMT
NOACC_MODE_3_WORD_FMT
NOACC_MODE_IMM_IND_3_WORD_FMT
NOACC_MODE_IND_2_WORD_E_FMT
NOACC_MODE_IND_2_WORD_X_FMT
NOACC_MODE_IND_3_WORD_FMT
NOACC_MODE_IND_3_WORD_XCALL_FMT
NOACC_MODE_IND_4_WORD_FMT
NOVA_DATA_IO_FMT
NOVA_NOACC_EFF_ADDR_FMT
NOVA_ONEACC_EFF_ADDR_FMT
NOVA_TWOACC_MULT_OP_FMT
ONEACC_IMM_2_WORD_FMT
ONEACC_IMMWD_2_WORD_FMT
ONEACC_IMM_3_WORD_FMT
ONEACC_IMMDWD_3_WORD_FMT
ONEACC_MODE_2_WORD_E_FMT
ONEACC_MODE_2_WORD_X_B_FMT
ONEACC_MODE_3_WORD_FMT
ONEACC_MODE_IND_2_WORD_E_FMT
ONEACC_MODE_IND_2_WORD_X_FMT
ONEACC_MODE_IND_3_WORD_FMT
ONEACC_1_WORD_FMT
UNIQUE_1_WORD_FMT
UNIQUE_2_WORD_FMT
SPLIT_8BIT_DISP_FMT
THREE_WORD_DO_FMT
TWOACC_1_WORD_FMT
TWOACC_IMM_2_WORD_FMT
WSKB_FMT
;
;Instructions
FNS,0x86a8,0xffff,1,UNIQUE_1_WORD_FMT,ECLIPSE_PC,0
FPOP,0xeee8,0xffff,1,UNIQUE_1_WORD_FMT,ECLIPSE_STACK,0
FPSH,0xe6e8,0xffff,1,UNIQUE_1_WORD_FMT,ECLIPSE_STACK,0
FSA,0x8ea8,0xffff,1,UNIQUE_1_WORD_FMT,ECLIPSE_PC,0
FXTD,0xa779,0xffff,1,UNIQUE_1_WORD_FMT,ECLIPSE_OP,0
FXTE,0xc749,0xffff,1,UNIQUE_1_WORD_FMT,ECLIPSE_OP,0
HALT,0x647f,0xffff,1,UNIQUE_1_WORD_FMT,NOVA_IO,0
HLV,0xc6f8,0xe7ff,1,ONEACC_1_WORD_FMT,ECLIPSE_OP,0
HXL,0x8308,0x87ff,1,IMM_ONEACC_FMT,ECLIPSE_OP,0
HXR,0x8348,0x87ff,1,IMM_ONEACC_FMT,ECLIPSE_OP,0
INC,0x8300,0x8700,1,NOVA_TWOACC_MULT_OP_FMT,NOVA_OP,0
INTA,0x633f,0xe7ff,1,ONEACC_1_WORD_FMT,NOVA_IO,0
INTDS,0x60bf,0xffff,1,UNIQUE_1_WORD_FMT,NOVA_IO,0
INTEN,0x607f,0xffff,1,UNIQUE_1_WORD_FMT,NOVA_IO,0
IOR,0x8108,0x87ff,1,TWOACC_1_WORD_FMT,ECLIPSE_OP,0
IORI,0x87f8,0xe7ff,2,ONEACC_IMMWD_2_WORD_FMT,ECLIPSE_OP,0
IORST,0x653f,0xe73f,1,ONEACC_1_WORD_FMT,NOVA_IO,0
ISZ,0x1000,0xf800,1,NOVA_NOACC_EFF_ADDR_FMT,NOVA_MEMREF,0
